fixture_id,date,home_team,away_team,home_fotmob_matches_before,away_fotmob_matches_before,fotmob_points_per_match_diff,fotmob_goal_difference_per_match_diff,fotmob_avg_player_rating_diff,fotmob_starting_xi_avg_rating_diff,fotmob_shots_on_target_per_match_diff,fotmob_expected_goals_per_match_diff,fotmob_chances_created_per_match_diff,fotmob_yellow_cards_per_match_diff,fotmob_red_cards_per_match_diff,fotmob_momentum_score
537327,2026-06-11 19:00:00+00:00,Mexico,South Africa,0,0,,,,,,,,,,
537328,2026-06-12 02:00:00+00:00,South Korea,Czechia,0,0,,,,,,,,,,
537333,2026-06-12 19:00:00+00:00,Canada,Bosnia-Herzegovina,0,0,,,,,,,,,,
537345,2026-06-13 01:00:00+00:00,United States,Paraguay,0,0,,,,,,,,,,
537334,2026-06-13 19:00:00+00:00,Qatar,Switzerland,0,0,,,,,,,,,,
537339,2026-06-13 22:00:00+00:00,Brazil,Morocco,0,0,,,,,,,,,,
537340,2026-06-14 01:00:00+00:00,Haiti,Scotland,0,0,,,,,,,,,,
537346,2026-06-14 04:00:00+00:00,Australia,Turkey,0,0,,,,,,,,,,
537351,2026-06-14 17:00:00+00:00,Germany,Curaçao,0,0,,,,,,,,,,
537357,2026-06-14 20:00:00+00:00,Netherlands,Japan,0,0,,,,,,,,,,
537352,2026-06-14 23:00:00+00:00,Ivory Coast,Ecuador,0,0,,,,,,,,,,
537358,2026-06-15 02:00:00+00:00,Sweden,Tunisia,0,0,,,,,,,,,,
537369,2026-06-15 16:00:00+00:00,Spain,Cape Verde Islands,0,0,,,,,,,,,,
537363,2026-06-15 19:00:00+00:00,Belgium,Egypt,0,0,,,,,,,,,,
537370,2026-06-15 22:00:00+00:00,Saudi Arabia,Uruguay,0,0,,,,,,,,,,
537364,2026-06-16 01:00:00+00:00,Iran,New Zealand,0,0,,,,,,,,,,
537391,2026-06-16 19:00:00+00:00,France,Senegal,0,0,,,,,,,,,,
537392,2026-06-16 22:00:00+00:00,Iraq,Norway,0,0,,,,,,,,,,
537397,2026-06-17 01:00:00+00:00,Argentina,Algeria,0,0,,,,,,,,,,
537398,2026-06-17 04:00:00+00:00,Austria,Jordan,0,0,,,,,,,,,,
537403,2026-06-17 17:00:00+00:00,Portugal,Congo DR,0,0,,,,,,,,,,
