fixture_id,fotmob_match_id,team_name,formation,starting_xi_avg_rating,starting_xi_total_rating,starting_xi_avg_minutes,starting_xi_total_minutes,worst_starter_rating,substitutes_avg_rating
537327,4667751,Mexico,4-1-4-1,7.479090909090909,82.27,82.0909090909091,903.0,6.05,6.264
537327,4667751,South Africa,5-3-2,5.803636363636364,63.839999999999996,78.0909090909091,859.0,3.54,5.91
537328,4667752,Czechia,3-4-2-1,6.519090909090909,71.71000000000001,82.36363636363636,906.0,5.66,5.989999999999999
537328,4667752,South Korea,3-4-2-1,7.488181818181818,82.36999999999999,82.54545454545455,908.0,6.86,6.846666666666667
537329,4667753,Czechia,3-5-2,6.965454545454546,76.61999999999999,78.36363636363636,862.0,5.71,6.2299999999999995
537329,4667753,South Africa,4-3-3,7.015454545454546,77.16999999999999,83.18181818181819,915.0,5.74,6.45
537330,4667754,Mexico,4-1-4-1,7.15090909090909,78.66000000000001,84.18181818181819,926.0,6.16,6.05
537330,4667754,South Korea,3-4-2-1,6.456363636363636,71.02,79.36363636363636,873.0,5.77,6.1899999999999995
537331,4667755,Czechia,3-5-2,,,,,,
537331,4667755,Mexico,4-1-4-1,,,,,,
537332,4667756,South Africa,4-3-3,,,,,,
537332,4667756,South Korea,3-4-2-1,,,,,,
537333,4667757,Bosnia-Herzegovina,4-4-2,7.210909090909092,79.32000000000001,81.45454545454545,896.0,6.13,6.3125
537333,4667757,Canada,4-4-2,6.957272727272727,76.53,80.72727272727273,888.0,5.73,6.59
537334,4667758,Qatar,4-3-3,6.804545454545454,74.85,80.63636363636364,887.0,6.13,6.3825
537334,4667758,Switzerland,4-3-3,7.469090909090909,82.16,84.27272727272727,927.0,7.11,6.196666666666666
537335,4667759,Bosnia-Herzegovina,4-4-2,5.972727272727273,65.7,83.45454545454545,918.0,5.01,6.045
537335,4667759,Switzerland,4-3-1-2,7.364545454545455,81.01,84.36363636363636,928.0,6.52,7.843333333333334
537336,4667760,Canada,4-4-2,7.659090909090909,84.24999999999999,78.81818181818181,867.0,6.54,6.7375
537336,4667760,Qatar,4-3-3,5.4818181818181815,60.3,65.9090909090909,725.0,4.51,5.7775
537337,4667761,Canada,4-4-2,,,,,,
537337,4667761,Switzerland,4-3-1-2,,,,,,
537338,4667762,Bosnia-Herzegovina,4-4-2,,,,,,
537338,4667762,Qatar,4-3-3,,,,,,
537339,4667764,Brazil,4-4-2,6.885454545454545,75.74,75.72727272727273,833.0,6.47,6.326
537339,4667764,Morocco,4-2-3-1,7.3109090909090915,80.42,83.54545454545455,919.0,6.64,6.115
537340,4667765,Haiti,4-4-2,6.621818181818182,72.84,85.63636363636364,942.0,5.85,6.095
537340,4667765,Scotland,4-4-2,7.071818181818182,77.79,84.63636363636364,931.0,6.36,6.243333333333333
537341,4667767,Brazil,4-1-2-3,7.595454545454545,83.55000000000001,79.0909090909091,870.0,6.03,6.253333333333333
537341,4667767,Haiti,5-4-1,5.848181818181818,64.33,76.72727272727273,844.0,4.85,6.1175
537342,4667766,Morocco,4-2-3-1,7.245454545454546,79.7,88.27272727272727,971.0,6.82,
537342,4667766,Scotland,4-1-4-1,6.537272727272727,71.91,83.63636363636364,920.0,5.88,6.153333333333333
537343,4667768,Brazil,4-1-2-3,,,,,,
537343,4667768,Scotland,4-1-4-1,,,,,,
537344,4667769,Haiti,5-4-1,,,,,,
537344,4667769,Morocco,4-2-3-1,,,,,,
537345,4667771,Paraguay,4-4-2,6.043636363636364,66.47999999999999,80.45454545454545,885.0,5.01,6.372
537345,4667771,United States,4-1-2-3,7.577272727272727,83.35,81.9090909090909,901.0,6.2,6.27
537346,4667772,Australia,5-4-1,7.505454545454546,82.56,83.36363636363636,917.0,6.56,6.236666666666667
537346,4667772,Turkey,4-2-3-1,6.712727272727273,73.83999999999999,81.27272727272727,894.0,5.56,6.890000000000001
537347,4667773,Paraguay,4-4-2,7.333636363636364,80.67,78.72727272727273,866.0,5.65,6.415
537347,4667773,Turkey,4-2-3-1,7.02,77.22,78.27272727272727,861.0,5.97,6.43
537348,4667774,Australia,5-4-1,6.1863636363636365,68.05,74.0,814.0,4.75,6.388
537348,4667774,United States,3-5-2,7.461818181818182,82.07999999999998,86.54545454545455,952.0,6.41,6.3
537351,4667777,Curaçao,4-3-1-2,5.819090909090909,64.00999999999999,83.0,913.0,4.05,6.085
537351,4667777,Germany,4-2-3-1,8.043636363636363,88.48,82.36363636363636,906.0,6.56,6.83
537352,4667778,Ecuador,3-4-3,6.843636363636364,75.28,80.63636363636364,887.0,6.49,5.8975
537352,4667778,Ivory Coast,4-4-2,7.316363636363636,80.48,81.36363636363636,895.0,6.22,6.8225
537353,4667780,Germany,4-2-3-1,7.142727272727272,78.57,77.27272727272727,850.0,6.52,7.215
537353,4667780,Ivory Coast,4-3-3,6.794545454545454,74.74,84.72727272727273,932.0,6.21,5.996666666666667
537354,4667779,Curaçao,4-3-1-2,,,,,,
537354,4667779,Ecuador,4-2-3-1,,,,,,
537357,4667783,Japan,3-4-2-1,6.757272727272727,74.33000000000001,83.18181818181819,915.0,5.84,6.585
537357,4667783,Netherlands,4-3-3,7.195454545454546,79.15,83.27272727272727,916.0,5.8,6.233333333333333
537358,4667784,Sweden,3-4-1-2,7.380000000000001,81.18,84.72727272727273,932.0,6.28,6.805
537358,4667784,Tunisia,3-5-2,5.608181818181818,61.69,83.9090909090909,923.0,1.9,6.1433333333333335
537359,4667786,Netherlands,4-3-3,7.594545454545455,83.54,78.54545454545455,864.0,6.14,6.8725
537359,4667786,Sweden,3-5-2,5.862727272727272,64.49000000000001,79.54545454545455,875.0,4.58,6.7375
537360,4667785,Japan,3-4-2-1,,,,,,
537360,4667785,Tunisia,4-2-3-1,,,,,,
537363,4667790,Belgium,4-2-3-1,7.065454545454545,77.72,80.9090909090909,890.0,6.28,6.43
537363,4667790,Egypt,4-2-3-1,7.064545454545455,77.71000000000001,85.36363636363636,939.0,6.14,6.18
537364,4667791,Iran,4-4-2,7.005454545454546,77.06000000000002,79.36363636363636,873.0,6.04,6.234999999999999
537364,4667791,New Zealand,4-2-3-1,6.963636363636363,76.6,84.72727272727273,932.0,6.09,6.0
537365,4667793,Belgium,4-2-3-1,,,,,,
537365,4667793,Iran,4-4-2,,,,,,
537366,4667792,Egypt,4-2-3-1,,,,,,
537366,4667792,New Zealand,4-2-3-1,,,,,,
537369,4667798,Cape Verde,4-1-4-1,7.008181818181819,77.09000000000002,79.81818181818181,878.0,5.95,6.287999999999999
537369,4667798,Spain,4-3-3,7.414545454545455,81.56,85.45454545454545,940.0,6.21,6.555
537370,4667799,Saudi Arabia,4-4-2,6.850909090909091,75.36,86.45454545454545,951.0,6.31,6.46
537370,4667799,Uruguay,4-4-2,7.016363636363636,77.17999999999999,79.27272727272727,872.0,5.56,6.816666666666667
537371,4667801,Saudi Arabia,3-4-2-1,,,,,,
537371,4667801,Spain,4-3-3,,,,,,
537372,4667800,Cape Verde,4-2-3-1,,,,,,
537372,4667800,Uruguay,4-3-3,,,,,,
537391,4667804,France,4-2-3-1,7.528181818181818,82.81,88.81818181818181,977.0,6.21,7.37
537391,4667804,Senegal,4-3-3,6.120909090909091,67.33,85.9090909090909,945.0,5.54,6.585
537392,4667805,Iraq,4-4-2,6.027272727272727,66.3,80.18181818181819,882.0,3.63,6.198
537392,4667805,Norway,4-3-3,7.252727272727273,79.78,83.0,913.0,6.35,6.4875
537393,4667807,France,4-2-3-1,,,,,,
537393,4667807,Iraq,4-4-2,,,,,,
537394,4667806,Norway,4-3-3,,,,,,
537394,4667806,Senegal,4-3-3,,,,,,
537397,4667812,Algeria,4-2-3-1,6.254545454545454,68.8,81.36363636363636,895.0,5.45,6.123333333333334
537397,4667812,Argentina,4-4-2,7.450909090909092,81.96000000000001,77.72727272727273,855.0,6.45,6.622
537398,4667813,Austria,4-2-3-1,7.245454545454546,79.7,76.81818181818181,845.0,6.43,6.6
537398,4667813,Jordan,5-4-1,6.765454545454546,74.42,86.45454545454545,951.0,5.56,5.94
537399,4667815,Argentina,4-4-2,,,,,,
537399,4667815,Austria,4-2-3-1,,,,,,
537400,4667814,Algeria,4-2-3-1,,,,,,
537400,4667814,Jordan,5-4-1,,,,,,
537403,4667819,Congo DR,5-3-2,6.959090909090909,76.55000000000001,83.18181818181819,915.0,6.28,6.333333333333333
537403,4667819,Portugal,4-2-3-1,6.911818181818182,76.03,81.9090909090909,901.0,5.67,6.176666666666667
537404,4667820,Colombia,4-3-3,7.269090909090909,79.96,86.36363636363636,950.0,5.79,6.753333333333333
537404,4667820,Uzbekistan,3-4-2-1,6.159090909090909,67.75,79.36363636363636,873.0,4.99,6.255
537405,4667822,Portugal,4-2-3-1,,,,,,
